StudyYear	Code	Births	BirthSchool	Rate	trt	year	interaction	Pop
2014.0	260005	1526	1107.0	15.538766	1.0	0.0	0.0	98206
2016.0	260005	1487	1166.0	15.07976	1.0	1.0	1.0	98990
2014.0	260010	653	499.0	17.866915	1.0	0.0	0.0	36548
2016.0	260010	580	476.0	15.797358	1.0	1.0	1.0	36866
2014.0	260020	305	192.0	16.194117	1.0	0.0	0.0	18834
2016.0	260020	284	174.0	14.920669	1.0	1.0	1.0	19225
2014.0	260030	356	173.0	14.800649	1.0	0.0	0.0	24053
2016.0	260030	323	206.0	13.315743	1.0	1.0	1.0	24454
2014.0	260040	551	294.0	15.590075	1.0	0.0	0.0	35343
2016.0	260040	491	292.0	13.7542715	1.0	1.0	1.0	36040
2014.0	260050	765	280.0	18.088528	1.0	0.0	0.0	42292
2016.0	260050	672	282.0	15.785765	1.0	1.0	1.0	42831
2014.0	260060	174	94.0	12.207956	1.0	0.0	0.0	14253
2016.0	260060	191	113.0	13.316601	1.0	1.0	1.0	14431
2014.0	260070	611	349.0	15.974691	1.0	0.0	0.0	38248
2016.0	260070	457	282.0	11.94459	1.0	1.0	1.0	38261
2014.0	260080	239	135.0	10.451285	1.0	0.0	0.0	22868
2016.0	260080	235	147.0	10.270979	1.0	1.0	1.0	22886
2014.0	260090	337	195.0	14.911505	1.0	0.0	0.0	22600
2016.0	260090	312	204.0	13.78031	1.0	1.0	1.0	22685
2014.0	260100	157	86.0	14.539729	1.0	0.0	0.0	10798
2016.0	260100	144	93.0	13.23043	1.0	1.0	1.0	10965
2014.0	260105	314	216.0	16.035133	1.0	0.0	0.0	19582
2016.0	260105	289	210.0	14.580496	1.0	1.0	1.0	20046
2014.0	260110	1592	1161.0	19.343628	1.0	0.0	0.0	82301
2016.0	260110	1497	921.0	18.07971	1.0	1.0	1.0	83287
2014.0	260120	1159	755.0	15.948152	1.0	0.0	0.0	72673
2016.0	260120	1017	732.0	14.001707	1.0	1.0	1.0	73154
2014.0	260130	167	98.0	12.092687	1.0	0.0	0.0	13810
2016.0	260130	148	99.0	10.601719	1.0	1.0	1.0	14091
2014.0	260140	852	491.0	20.235607	1.0	0.0	0.0	42104
2016.0	260140	721	419.0	17.07681	1.0	1.0	1.0	42331
2014.0	260150	152	90.0	12.845432	1.0	0.0	0.0	11833
2016.0	260150	148	78.0	12.447434	1.0	1.0	1.0	11941
2014.0	260160	355	230.0	17.163855	1.0	0.0	0.0	20683
2016.0	260160	338	233.0	16.347456	1.0	1.0	1.0	20672
2014.0	260170	1192	743.0	15.853383	1.0	0.0	0.0	75189
2016.0	260170	1045	671.0	13.847296	1.0	1.0	1.0	75729
2014.0	260180	189	125.0	15.135741	1.0	0.0	0.0	12487
2016.0	260180	151	103.0	12.043388	1.0	1.0	1.0	12589
2014.0	260190	762	414.0	12.635768	1.0	0.0	0.0	60305
2016.0	260190	677	435.0	11.211579	1.0	1.0	1.0	60469
2014.0	260200	501	276.0	13.520443	1.0	0.0	0.0	37055
2016.0	260200	551	313.0	14.765784	1.0	1.0	1.0	37571
2014.0	260210	667	320.0	14.035014	1.0	0.0	0.0	47524
2016.0	260210	564	248.0	11.808056	1.0	1.0	1.0	47991
2014.0	260220	479	315.0	12.32186	1.0	0.0	0.0	38874
2016.0	260220	392	274.0	10.070649	1.0	1.0	1.0	38976
2014.0	260230	611	280.0	16.025808	1.0	0.0	0.0	38126
2016.0	260230	601	273.0	15.776763	1.0	1.0	1.0	38069
2014.0	260240	179	101.0	19.895521	1.0	0.0	0.0	8997
2016.0	260240	161	90.0	17.922743	1.0	1.0	1.0	8980
2014.0	260250	112	73.0	15.011393	1.0	0.0	0.0	7461
2016.0	260250	82	57.0	10.984594	1.0	1.0	1.0	7464
2014.0	260260	702	314.0	14.460511	1.0	0.0	0.0	48546
2016.0	260260	607	311.0	12.364288	1.0	1.0	1.0	49624
2014.0	260270	185	108.0	14.258189	1.0	0.0	0.0	12975
2016.0	260270	175	120.0	13.449124	1.0	1.0	1.0	13050
2014.0	260280	879	370.0	15.723664	1.0	0.0	0.0	55903
2016.0	260280	834	389.0	14.754794	1.0	1.0	1.0	57120
2014.0	260290	3158	2435.0	15.918061	1.0	0.0	0.0	198391
2016.0	260290	3024	2376.0	15.078234	1.0	1.0	1.0	202636
2014.0	260300	569	437.0	17.2817	1.0	0.0	0.0	32925
2016.0	260300	512	403.0	15.398959	1.0	1.0	1.0	33557
2014.0	260310	233	121.0	11.759955	1.0	0.0	0.0	19813
2016.0	260310	229	129.0	11.476396	1.0	1.0	1.0	20082
2014.0	260320	411	203.0	14.69852	1.0	0.0	0.0	27962
2016.0	260320	381	203.0	13.535598	1.0	1.0	1.0	28326
2014.0	260330	142	77.0	12.703525	1.0	0.0	0.0	11178
2016.0	260330	147	87.0	13.198061	1.0	1.0	1.0	11094
2014.0	260340	83	47.0	14.442318	1.0	0.0	0.0	5747
2016.0	260340	89	42.0	15.483646	1.0	1.0	1.0	5741
2014.0	260345	2482	1927.0	16.238354	1.0	0.0	0.0	152848
2016.0	260345	2279	1797.0	14.793226	1.0	1.0	1.0	155228
2014.0	260350	201	116.0	11.080485	1.0	0.0	0.0	18140
2016.0	260350	224	120.0	12.2444515	1.0	1.0	1.0	18440
2014.0	260360	131	72.0	15.541583	1.0	0.0	0.0	8429
2016.0	260360	106	58.0	12.542894	1.0	1.0	1.0	8472
2014.0	260370	370	177.0	14.873176	1.0	0.0	0.0	24877
2016.0	260370	346	146.0	13.930268	1.0	1.0	1.0	24799
2014.0	260380	289	165.0	14.447833	1.0	0.0	0.0	20003
2016.0	260380	287	160.0	14.349282	1.0	1.0	1.0	19994
2014.0	260390	284	210.0	14.749415	1.0	0.0	0.0	19255
2016.0	260390	257	205.0	13.307098	1.0	1.0	1.0	19380
2014.0	260392	305	212.0	24.403904	1.0	0.0	0.0	12498
2016.0	260392	279	189.0	22.139343	1.0	1.0	1.0	12706
2014.0	260400	1103	786.0	13.753118	1.0	0.0	0.0	80200
2016.0	260400	949	720.0	11.708099	1.0	1.0	1.0	81884
2014.0	260410	5738	3797.0	16.761114	1.0	0.0	0.0	342340
2016.0	260410	5085	3519.0	14.649746	1.0	1.0	1.0	351686
2014.0	260415	166	98.0	11.6992035	1.0	0.0	0.0	14189
2016.0	260415	141	106.0	9.916309	1.0	1.0	1.0	14247
2014.0	260420	593	314.0	14.512616	1.0	0.0	0.0	40861
2016.0	260420	549	302.0	13.270806	1.0	1.0	1.0	41865
2014.0	260430	155	117.0	13.569115	1.0	0.0	0.0	11423
2016.0	260430	166	127.0	14.414727	1.0	1.0	1.0	11607
2014.0	260440	216	132.0	16.482258	1.0	0.0	0.0	13105
2016.0	260440	212	161.0	16.05574	1.0	1.0	1.0	13302
2014.0	260450	326	186.0	15.420274	1.0	0.0	0.0	21141
2016.0	260450	285	177.0	13.392228	1.0	1.0	1.0	21402
2014.0	260460	374	217.0	14.591136	1.0	0.0	0.0	25632
2016.0	260460	385	242.0	14.908612	1.0	1.0	1.0	26008
2014.0	260470	216	90.0	12.065691	1.0	0.0	0.0	17902
2016.0	260470	220	111.0	12.244671	1.0	1.0	1.0	18033
2014.0	260480	217	127.0	17.18948	1.0	0.0	0.0	12624
2016.0	260480	196	100.0	15.554321	1.0	1.0	1.0	12581
2014.0	260490	197	117.0	14.107705	1.0	0.0	0.0	13964
2016.0	260490	143	97.0	10.886943	1.0	1.0	1.0	12332
2014.0	260500	395	198.0	16.61409	1.0	0.0	0.0	23775
2016.0	260500	354	227.0	14.849616	1.0	1.0	1.0	23909
2014.0	260510	533	353.0	14.852589	1.0	0.0	0.0	35886
2016.0	260510	468	320.0	12.932821	1.0	1.0	1.0	36474
2014.0	260515	243	155.0	13.406157	1.0	0.0	0.0	18126
2016.0	260515	223	156.0	12.171161	1.0	1.0	1.0	18510
2014.0	260520	1578	964.0	23.58427	1.0	0.0	0.0	66909
2016.0	260520	1015	701.0	15.06337	1.0	1.0	1.0	67839
2014.0	260530	506	304.0	15.811018	1.0	0.0	0.0	32003
2016.0	260530	434	249.0	13.591382	1.0	1.0	1.0	31858
2014.0	260540	297	191.0	13.762743	1.0	0.0	0.0	21580
2016.0	260540	304	219.0	14.003408	1.0	1.0	1.0	21836
2014.0	260545	22	19.0	7.633588	1.0	0.0	0.0	2882
2016.0	260545	26	26.0	8.879782	1.0	1.0	1.0	2974
2014.0	260550	118	80.0	9.909305	1.0	0.0	0.0	11908
2016.0	260550	163	103.0	13.631042	1.0	1.0	1.0	12008
2014.0	260560	262	178.0	11.593433	1.0	0.0	0.0	22599
2016.0	260560	227	150.0	10.048694	1.0	1.0	1.0	22577
2014.0	260570	461	321.0	14.655858	1.0	0.0	0.0	31455
2016.0	260570	430	307.0	13.517337	1.0	1.0	1.0	32152
2014.0	260580	142	74.0	9.44463	1.0	0.0	0.0	15035
2016.0	260580	133	73.0	8.785837	1.0	1.0	1.0	15234
2014.0	260590	373	208.0	12.506287	1.0	0.0	0.0	29825
2016.0	260590	362	217.0	12.013008	1.0	1.0	1.0	30426
2014.0	260600	2360	1532.0	17.344778	1.0	0.0	0.0	136064
2016.0	260600	2179	1535.0	15.910219	1.0	1.0	1.0	137810
2014.0	260610	381	250.0	12.653604	1.0	0.0	0.0	30110
